scenario,method,seed,NMR,MSD,PE,MS_s,FT_drone_s,AU,RID_CR,RTF
02_dense_intersection,cbs,17,0.0,11.126147599620369,1.0,129.0,1234.0,0.3296875,0.0,100877.55063151468
02_dense_intersection,cbs,18,0.0,9.967446769637371,1.0,125.0,1217.0,0.32526041666666666,0.0,100493.63310341709
02_dense_intersection,cbs,19,0.0,15.93934157811557,1.0,118.0,1129.0,0.30234375,0.0,112150.42362452539
02_dense_intersection,cbs,2,0.0,6.822672502963458,1.0,108.0,1100.0,0.2947916666666667,0.0,121024.35009740872
02_dense_intersection,cbs,20,0.0,9.712126544166956,1.0,125.0,1044.0,0.28020833333333334,0.0,107723.50608022725
02_dense_intersection,cbs,21,0.0,15.085842684653034,0.9999999999999999,113.0,1115.0,0.2986979166666667,0.0,113487.1430841235
02_dense_intersection,cbs,22,0.0,14.114895829255882,1.0,106.0,1014.0,0.27239583333333334,0.0,103316.23593797658
02_dense_intersection,cbs,23,0.0,15.123589539687217,1.0,130.0,1056.0,0.2833333333333333,0.0,116545.9283108225
02_dense_intersection,cbs,24,0.0,7.578935936018609,1.0,128.0,1272.0,0.33958333333333335,0.0,98130.290862829
02_dense_intersection,cbs,25,0.0,7.559346911859876,1.0,126.0,1236.0,0.3302083333333333,0.0,103573.6803753458
02_dense_intersection,cbs,26,0.0,16.21481524869458,1.0,112.0,1105.0,0.29609375,0.0,113925.38457239073
02_dense_intersection,cbs,27,0.0,6.831939099186505,1.0,122.0,1322.0,0.35260416666666666,0.0,97607.5177288342
02_dense_intersection,cbs,28,3.472222222222222e-05,4.322068231991905,1.0,129.0,1444.0,0.384375,0.0,36192.73536499608
02_dense_intersection,cbs,29,0.0,8.245464715240862,1.0,130.0,1219.0,0.32578125,0.0,87811.02481651332
02_dense_intersection,cbs,3,0.0,7.496286881221953,1.0,108.0,1291.0,0.34453125,0.0,97253.12598332348
02_dense_intersection,cbs,4,0.0,10.700853654474217,1.0,96.0,1077.0,0.28880208333333335,0.0,98575.66380958339
02_dense_intersection,cbs,5,0.0,17.890999561286446,1.0,108.0,1257.0,0.33567708333333335,0.0,104907.2554303363
02_dense_intersection,cbs,6,0.0,17.32004470936905,1.0,136.0,1353.0,0.3606770833333333,0.0,98210.60282113166
02_dense_intersection,cbs,7,0.0,10.692593595380302,1.0,117.0,1270.0,0.3390625,0.0,102291.36929522699
02_dense_intersection,cbs,8,0.0,13.097211078248687,1.0,127.0,1152.0,0.30833333333333335,0.0,97371.81304732633
02_dense_intersection,cbs,9,0.0,14.59484019191756,1.0,118.0,1286.0,0.34322916666666664,0.0,35550.736455137776
02_dense_intersection,orca,0,0.0,16.545175844345472,1.0,118.0,1140.0,0.30104166666666665,0.0,97012.18635250701
02_dense_intersection,orca,1,0.0,14.998046993737304,1.0,108.0,1187.0,0.31328125,0.0,91301.54923912173
02_dense_intersection,orca,10,0.0,7.84526634675384,1.0,112.0,1199.0,0.31640625,0.0,97373.82786452638
02_dense_intersection,orca,11,0.0,16.261694453684292,1.0,118.0,1107.0,0.29244791666666664,0.0,82420.69583813164
02_dense_intersection,orca,12,0.0,10.530730447083007,1.0,131.0,1345.0,0.35442708333333334,0.0,80017.31041225177
02_dense_intersection,orca,13,0.0,14.417411520695735,1.0,111.0,1221.0,0.3221354166666667,0.0,36081.79924306425
02_dense_intersection,orca,14,0.0,7.523971134487414,1.0,103.0,1272.0,0.33541666666666664,0.0,91262.24815546082
02_dense_intersection,orca,15,0.0,19.490916229207397,1.0,115.0,1247.0,0.32890625,0.0,90615.75672706877
02_dense_intersection,orca,16,0.0,11.423279088472665,1.0,133.0,1155.0,0.30494791666666665,0.0,98669.07747516417
02_dense_intersection,orca,17,0.0,11.722849976428064,1.0,130.0,1254.0,0.3307291666666667,0.0,35870.70762225074
02_dense_intersection,orca,18,0.0,10.182195367235467,1.0,126.0,1238.0,0.3265625,0.0,97212.66972961553
02_dense_intersection,orca,19,0.0,16.304338460072827,1.0,120.0,1150.0,0.30364583333333334,0.0,36587.133860099195
02_dense_intersection,orca,2,0.0,5.1438354006895,1.0,109.0,1123.0,0.29661458333333335,0.0,90037.8721756902
02_dense_intersection,orca,20,0.0,9.440801004463653,1.0,126.0,1064.0,0.28125,0.0,109991.7414579024
02_dense_intersection,orca,21,0.0,15.149542039775605,1.0,115.0,1140.0,0.30104166666666665,0.0,77380.01583554369
02_dense_intersection,orca,22,0.0,15.309638539192752,1.0,107.0,1036.0,0.27395833333333336,0.0,114663.7771429146
02_dense_intersection,orca,23,0.0,15.48953043058531,1.0,131.0,1075.0,0.28411458333333334,0.0,38122.68642944092
02_dense_intersection,orca,24,0.0,8.033006169547525,1.0,129.0,1291.0,0.34036458333333336,0.0,85954.99038135988
02_dense_intersection,orca,25,0.0,10.556884958071059,1.0,127.0,1255.0,0.33098958333333334,0.0,35806.759869187255
02_dense_intersection,orca,26,0.0,16.37488509705463,1.0,113.0,1124.0,0.296875,0.0,104512.50143687055
02_dense_intersection,orca,27,0.0,7.37199855523624,1.0,123.0,1342.0,0.3536458333333333,0.0,30371.738691844534
