agents_finished,agents_total,horizon_s,method,scenario,seed,tick_count,wall_clock_s
8,8,240.0,cbs,04_no_fly_zone,14,241,0.007429047000073297
8,8,240.0,cbs,04_no_fly_zone,15,241,0.015884327999970083
8,8,240.0,cbs,04_no_fly_zone,16,241,0.020165101999964463
8,8,240.0,cbs,04_no_fly_zone,17,241,0.009248858000091786
8,8,240.0,cbs,04_no_fly_zone,18,241,0.014764990999992733
8,8,240.0,cbs,04_no_fly_zone,19,241,0.009678850000000239
8,8,240.0,cbs,04_no_fly_zone,2,241,0.015240664999964793
8,8,240.0,cbs,04_no_fly_zone,20,241,0.010656746999984534
8,8,240.0,cbs,04_no_fly_zone,21,241,0.02024413399999503
8,8,240.0,cbs,04_no_fly_zone,22,241,0.01026963699996486
8,8,240.0,cbs,04_no_fly_zone,23,241,0.01319943799990142
8,8,240.0,cbs,04_no_fly_zone,24,241,0.012321484000040073
8,8,240.0,cbs,04_no_fly_zone,25,241,0.014593447000038395
8,8,240.0,cbs,04_no_fly_zone,26,241,0.015637156000025243
8,8,240.0,cbs,04_no_fly_zone,27,241,0.009111489000019901
8,8,240.0,cbs,04_no_fly_zone,28,241,0.006527492000031998
8,8,240.0,cbs,04_no_fly_zone,29,241,0.019327418999978363
8,8,240.0,cbs,04_no_fly_zone,3,241,0.011280025000019123
8,8,240.0,cbs,04_no_fly_zone,4,241,0.01714139900002465
8,8,240.0,cbs,04_no_fly_zone,5,241,0.0058513139999831765
8,8,240.0,cbs,04_no_fly_zone,6,241,0.02270350399999188
8,8,240.0,cbs,04_no_fly_zone,7,241,0.01133596599993325
8,8,240.0,cbs,04_no_fly_zone,8,241,0.00989576599999964
